Voltage,Current,Temperature,Capacity
4.19979,0.05619,23.76583,2.61329
4.19979,0.05108,23.76583,2.61417
4.19979,0.04853,23.87099,2.61443
4.19979,0.0945,23.87099,2.69915
4.19979,0.08684,23.87099,2.70066
4.19979,0.07918,23.87099,2.70205
4.19979,0.07407,23.97615,2.70332
4.19979,0.06896,23.87099,2.70449
4.19979,0.0613,23.97615,2.70558
4.19979,0.05874,23.87099,2.70658
4.19979,0.05364,23.87099,2.70752
4.19979,0.05108,23.87099,2.70839
4.19979,0.04853,23.87099,2.70858
4.19979,0.09961,23.76583,2.57663
4.19979,0.09195,23.76583,2.57823
4.19979,0.08429,23.87099,2.5797
4.19979,0.07662,23.97615,2.58105
4.19979,0.07152,23.97615,2.58228
4.19979,0.06641,23.76583,2.58342
4.19979,0.0613,23.76583,2.58448
4.19979,0.05619,23.87099,2.58546
4.19979,0.05364,23.97615,2.58637
4.19979,0.04853,23.97615,2.58695
4.19979,0.09961,23.76583,2.57239
4.19979,0.09195,23.76583,2.57399
4.19979,0.08429,23.66067,2.57543
4.19979,0.07662,23.76583,2.57676
4.19979,0.07152,23.76583,2.57799
4.19979,0.06641,23.76583,2.57911
4.19979,0.0613,23.66067,2.58016
4.19979,0.05619,23.76583,2.58112
4.19979,0.05364,23.76583,2.58204
4.19979,0.04853,23.76583,2.58247
4.19979,0.09961,24.0813,2.57145
4.19979,0.09195,24.18646,2.57303
4.19979,0.08429,24.0813,2.57449
4.19979,0.07662,23.66067,2.57583
4.19979,0.07152,23.66067,2.57706
4.19979,0.06641,23.66067,2.5782
4.19979,0.0613,23.87099,2.57925
4.19979,0.05619,23.87099,2.58022
4.19979,0.05364,23.87099,2.58113
4.19979,0.04853,23.87099,2.5816
4.19979,0.09961,23.87099,2.57322
4.19979,0.09195,23.76583,2.57481
4.19979,0.08429,23.66067,2.57626
4.19979,0.07662,23.76583,2.57759
4.19979,0.07152,23.87099,2.57882
4.19979,0.06385,24.0813,2.57994
4.19979,0.0613,23.97615,2.58099
4.19979,0.05619,23.87099,2.58196
4.19979,0.05108,23.76583,2.58286
4.19979,0.04853,23.76583,2.58315
4.19979,0.10216,23.87099,2.57215
4.19979,0.09195,24.0813,2.57374
4.19979,0.08429,24.0813,2.57519
4.19979,0.07662,23.87099,2.57651
4.19979,0.07152,23.76583,2.57774
4.19979,0.06385,23.87099,2.57887
4.19979,0.0613,23.87099,2.57992
4.19979,0.05619,24.0813,2.58088
4.19979,0.05108,23.76583,2.58178
4.19979,0.04853,23.87099,2.5823
4.19979,0.09961,23.76583,2.57751
4.19979,0.09195,23.55551,2.57912
4.19979,0.08429,23.87099,2.58059
4.19979,0.07662,24.0813,2.58194
4.19979,0.07152,23.97615,2.58317
4.19979,0.06641,23.45035,2.58431
4.19979,0.0613,23.76583,2.58536
4.19979,0.05619,24.0813,2.58632
4.19979,0.05364,24.0813,2.58723
4.19979,0.04853,23.97615,2.58787
